Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
110,6,853.4093,855.1349,1725.64,95,63.3,18.36,182.72,37.13,65.26,35.26,106.55
111,6,855.299,855.6373,338.28,14,58.9,26.01,173.44,60.02,97.39,18,112.9
112,6,855.8813,856.9967,1115.4,34,62.7,33.79,172.1,55.2,94.73,24.47,113.97
113,6,857.3169,859.0272,1710.31,58,46.8,29.65,163.07,103.29,105.86,9.52,53.59
114,6,866.3515,867.9515,1600.01,28,67.2,59.25,172.15,82.59,99.56,10.89,90.48
115,6,899.0068,899.8711,864.28,28,52,31.17,158.47,53.53,70.99,24.64,93.3
116,6,901.8339,903.9375,2103.64,54,53.3,39.35,162.71,42.23,79.07,29.52,97.52
117,6,907.4128,908.3957,982.91,13,55.2,81.89,162.55,55.29,113.19,13.02,113.97
118,6,909.1425,913.0713,3928.76,63,56.7,63.21,171.03,60.63,98.3,17.59,107.18
119,6,948.4629,949.2074,744.46,7,41.5,124.04,151.7,60.76,100.64,23.83,99.03
120,6,950.3385,952.1408,1802.28,42,52.9,43.95,154.93,39.27,92.21,27.96,84.98
121,6,1001.9175,1002.4712,553.67,3,33.6,276.69,150.95,72.31,68.2,17.28,87.17
122,6,1028.964,1030.9197,1955.69,29,50.5,69.21,158.74,85.28,102.59,10.07,97.11
123,6,1045.5941,1046.1322,538.06,19,61.9,29.88,179.68,74.01,87.84,16.73,103.94
124,6,1046.6279,1049.1155,2487.58,43,56.9,58.28,172.85,74.33,97.59,21.93,98.17
125,6,1052.9022,1056.2493,3347.06,47,49.7,72.76,158.53,78.45,74.12,19.79,83.98
126,6,1062.7396,1064.8107,2071.12,35,54,54.6,158.26,65.08,84.81,13.11,111.58
127,6,1128.6223,1130.1996,1577.33,36,53.9,44.62,175.23,48.17,68.27,26.6,71.98
128,6,1131.1113,1133.1405,2029.24,54,60.7,38.28,174.86,64.75,69.24,17.89,74.98
129,6,1152.4597,1152.6034,143.63,6,65.8,28.69,176.24,38.48,83.53,21.09,104.06
130,6,1158.0434,1158.4833,439.88,3,45.2,219.84,160.78,95.33,99.01,7.89,97.32
131,6,1175.4209,1178.0913,2670.44,89,65.3,30.34,177.02,57.78,89.73,20.31,84.99
132,6,1179.5187,1179.8267,308.01,16,65.1,20.52,174.59,43.29,63,26.47,100.41
133,6,1212.674,1214.2708,1596.84,60,47.6,27.04,154.96,87.4,94.04,13.03,90.81
134,6,1258.1742,1258.6806,506.38,26,55,20.23,175.49,91.97,36.4,20.05,57.38
135,6,1273.1464,1275.0414,1895.03,83,62.7,23.11,180.79,46.1,94.8,21.89,79.1
136,6,1275.603,1275.8385,235.48,3,79.3,117.64,168.13,26.62,84.56,40.88,92.25
137,6,1276.7879,1278.3685,1580.59,40,62.1,40.52,180.76,45.92,97.05,20.98,97.3
138,6,1278.7696,1279.1596,390.07,8,62.3,55.7,165.71,40.15,86.62,22.71,84.23
139,6,1279.5018,1280.0576,555.77,8,62.7,79.37,175.19,51.22,73.41,24.19,95.77
140,6,1297.3751,1298.942,1566.94,23,59.7,71.22,170.39,75.41,92.69,14.85,84.2
